word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,example_meaning
～人,～じん,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,counter for people
～すぎ,～すぎ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,过度，太～
～過ぎる,～すぎる,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,too much ~
～ずつ,～ずつ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,每次，各～
～済,～ずみ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,已完成
～製,～せい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,made in ~
～席,～せき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,～座位
～戦,～せん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"counter for games, matches"
～船,～せん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for ships
～前,～ぜん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,before ~
～沿い,～そい,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,沿着～
～艘,～そう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,艘
～足,～そく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for shoes
～たち,～たち,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,们
～代,～だい,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,～年代
～台,～だい,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,～台 (量词，用于车辆、机器)
～だけ,～だけ,N5,"{""N5"": 1}","{""community-independent"": ""N5""}",wordmaster,community-independent,1,只; 仅
～だす,～だす,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,to start doing ~
建て,～だて,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,"~ storied, separate housing"
～だらけ,～だらけ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,满是~
～団,～だん,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,团
～着,～ちゃく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for clothes; finishing place
～ちゃん,～ちゃん,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,suffix for familiar (female) person
～著,～ちょ,N1,"{""N1"": 1}","{""community-independent"": ""N1""}",wordmaster,community-independent,1,written by ~
～兆,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,trillion
～帳,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~ book, notebook"
～庁,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"office, agency"
～町,～ちょう,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,the town of ~
～長,～ちょう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"leader, head"
～丁目,～ちょうめ,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"~ district (of a town; city, block)"
～通,～つう,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,counter for letters
～付,～つき,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,with ~
～月,～つき,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,～月
～続く,～つづく,N2,"{""N2"": 1}","{""community-independent"": ""N2""}",wordmaster,community-independent,1,"follow, continue, go on"
～続ける,～つづける,N4,"{""N4"": 1}","{""community-independent"": ""N4""}",wordmaster,community-independent,1,继续～
