word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation,current_forms,current_readings,current_levels,jmdict_forms
造り,つくり,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,make up; structure; physique,same-jmdict-entry,作り,つくり,N3,つくり|作り|造り
手数,てかず,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,number of moves; trouble,same-jmdict-entry,手数,てすう,N2,てかず|てすう|手数
手掛ける,てがける,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to handle; to manage; to work with,same-jmdict-entry,手がける,てがける,N1,てがける|手がける|手懸ける|手掛ける
適確,てきかく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,precise; accurate,same-jmdict-entry,的確,てきかく,N2,てきかく|てっかく|的確|適確
手拭い,てぬぐい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(hand) towel,same-jmdict-entry,手ぬぐい,てぬぐい,N2,てぬぐい|手ぬぐい|手拭|手拭い
出合い,であい,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,an encounter,same-jmdict-entry,出会い,であい,N2,であい|出会|出会い|出合|出合い|出逢い|出遭い
通り掛かる,とおりかかる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to happen to pass by,same-jmdict-entry,通りかかる,とおりかかる,N3,とおりかかる|通りかかる|通りがかる|通り掛かる|通り掛る
中味,なかみ,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,contents; interior; substance,same-jmdict-entry,中身,なかみ,N3,なかみ|中味|中身
なにしろ,なにしろ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"at any rate,anyhow,anyway,in any case",same-jmdict-entry,何しろ,なにしろ,N2,なにしろ|何しろ
なにも,なにも,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,nothing,same-jmdict-entry,何も,なにも,N5,なにも|なんも|何も
なんとも,なんとも,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"nothing (with neg. verb),quite,not a bit",same-jmdict-entry,何とも,なんとも,N1,なんとも|何とも
日本,にっぽん,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,Japan,same-jmdict-entry,日本,にほん,N5,にっぽん|にほん|日本
寝間着,ねまき,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sleep-wear; nightclothes; pyjamas,same-jmdict-entry,寝巻き,ねまき,N2,ねまき|寝まき|寝巻|寝巻き|寝衣|寝間着
はじめまして,はじめまして,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"How do you do?,I am glad to meet you",same-jmdict-entry,初めまして,はじめまして,N5,はじめまして|初めまして|始めまして
羽根,はね,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,shuttlecock,same-jmdict-entry,は|羽,は|はね,N1|N2,は|はね|羽|羽根
張り紙,はりがみ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,paper patch; paper backing; poster,same-jmdict-entry,貼り紙,はりがみ,N2,はりがみ|はり紙|張り紙|張紙|貼り紙|貼紙
陽射,ひざし,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sunlight; rays of the sun,same-jmdict-entry,日差し,ひざし,N2,ひざし|日ざし|日射し|日差|日差し|陽ざし|陽射|陽射し|陽差し
引っ繰り返す,ひっくりかえす,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to turn over; to overturn; to knock over,same-jmdict-entry,ひっくり返す,ひっくりかえす,N2,ひっくりかえす|ひっくりがえす|ひっくり返す|ヒックリ返す|引っくり返す|引っ繰り返す|引繰り返す
日日,ひにち,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,every day; daily; day after day,same-jmdict-entry,日にち,ひにち,N2,ひにち|日にち|日日
ひゃっかじてん,ひゃっかじてん,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,encyclopedia,same-jmdict-entry,百科事典,ひゃっかじてん,N2,ひゃっかじてん|百科事典|百科辞典
附属,ふぞく,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,attached; belonging; affiliated,same-jmdict-entry,付属,ふぞく,N2,ふぞく|付属|附属
舟,ふね,N4,"{""N4"": 2}","{""community-independent"": ""N4"", ""waller-derived"": ""N4""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,ship,same-jmdict-entry,船,ふね,N5,ふね|槽|舟|船
殖やす,ふやす,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to increase; to add to; to augment,same-jmdict-entry,増やす,ふやす,N3,ふやす|増やす|殖やす
ぶらさげる,ぶらさげる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"to hang,to suspend,to dangle,to swing",same-jmdict-entry,ぶら下げる,ぶらさげる,N2,ぶらさげる|ぶら下げる
頬,ほほ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,cheek (of face),same-jmdict-entry,頬,ほお,N4,ほお|ほほ|頬|頰
濠,ほり,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,moat,same-jmdict-entry,堀,ほり,N3,ほり|堀|壕|濠
本当,ほんと,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,truth; reality,same-jmdict-entry,本当,ほんとう,N5,ほんと|ほんとう|ホント|ホントウ|ホントー|本当|本當
ぼろ,ぼろ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"rag,scrap,tattered clothes,fault (esp. in a pretense)",same-jmdict-entry,襤褸,ぼろ,N2,ぼろ|ボロ|襤褸
交ざる,まざる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to be mixed; to be blended with; to associate with,same-jmdict-entry,混ざる,まざる,N2,まざる|交ざる|混ざる|雑ざる
交じる,まじる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to be mixed; to be blended with; to associate with,same-jmdict-entry,混じる,まじる,N2,まじる|交じる|交る|混じる|混る|雑じる
交ぜる,まぜる,N3,"{""N2"": 1, ""N3"": 1}","{""community-independent"": ""N3"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to be mixed; to be blended with,same-jmdict-entry,混ぜる,まぜる,N3,まぜる|交ぜる|混ぜる|雑ぜる
またぐ,またぐ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,to straddle,same-jmdict-entry,跨ぐ,またぐ,N2,またぐ|跨ぐ
まぶた,まぶた,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,eyelids,same-jmdict-entry,瞼,まぶた,N2,まぶた|目蓋|眼蓋|瞼
みじめ,みじめ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"(arch) sad,pitiful,wretched",same-jmdict-entry,惨め,みじめ,N1,みじめ|惨め
見せ物,みせもの,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,show; exhibition,same-jmdict-entry,見世物,みせもの,N1,みせもの|見せ物|見世物
目付き,めつき,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,look; expression of the eyes; eyes,same-jmdict-entry,目つき,めつき,N1,めつき|目つき|目付き|眼つき|眼付|眼付き
めまい,めまい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"dizziness,giddiness",same-jmdict-entry,眩暈,めまい,N2,めまい|目まい|目眩|目眩い|眩冒|眩暈
基,もと,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,basis,same-jmdict-entry,元,もと,N2,もと|元|因|基|本|素
素,もと,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,prime,same-jmdict-entry,元,もと,N2,もと|元|因|基|本|素
やむをえない,やむをえない,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,"cannot be helped,unavoidable",same-jmdict-entry,やむを得ない,やむをえない,N2,やむをえない|やむを得ない|已むを得ない|止むをえない|止むを得ない
軟らかい,やわらかい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,soft; tender; limp,same-jmdict-entry,柔らかい,やわらかい,N3,やわらかい|柔かい|柔らかい|軟らかい
夜,よ,N3,"{""N3"": 2}","{""community-independent"": ""N3"", ""waller-derived"": ""N3""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,evening; night,same-jmdict-entry,よる|夜,よる,N5,よ|よる|夜
欲深い,よくふかい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,greedy,same-jmdict-entry,欲深い,よくぶかい,N1,よくふかい|よくぶかい|欲深い
慶ぶ,よろこぶ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,"to be delighted, to be glad",same-jmdict-entry,喜ぶ,よろこぶ,N4,よろこぶ|喜ぶ|悦ぶ|慶ぶ|欣ぶ|歓ぶ
濫用,らんよう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,abuse; misuse; misappropriation,same-jmdict-entry,乱用,らんよう,N1,らんよう|らん用|乱用|濫用
リポート,リポート,N4,"{""N2"": 1, ""N4"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N4""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,report,same-jmdict-entry,レポート,レポート,N3,リポート|レポート
