reading	display	level	grade	status	basis	common	frequency_rank	entry_id	evidence
あんぜんピン	安全ピン	N2	D	estimated	model+frequency+world-distribution	1	22409	1970720	{}
あんそくび	安息日	N2	D	estimated	model+frequency+world-distribution	1	19578	1650110	{}
あんちょく	安直	N2	D	estimated	model+frequency+world-distribution	1	14158	1154110	{}
あんないしょ	案内書	N2	D	estimated	model+frequency+world-distribution	1	16973	1154890	{}
あんないじょう	案内状	N2	D	estimated	model+frequency+world-distribution	1	14024	1757340	{}
あんのじょう	案の定	N2	A	direct	manual-secondary-exact	1	12160	1154790	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
あんぶん	案文	N2	D	estimated	model+frequency+world-distribution	1	13948	1575840	{}
あんらく	安楽	N2	B	direct	core-exact	1	15574	1153760	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
あんらくし	安楽死	N2	D	estimated	model+frequency+world-distribution	1	6391	1153770	{}
いあつ	威圧	N2	D	estimated	model+frequency+world-distribution	1	11818	1156210	{}
いあわせる	居合わせる	N2	D	estimated	model+frequency+world-distribution	1	10317	1231750	{}
いいあらそい	言い争い	N2	D	estimated	model+frequency+world-distribution	1	20987	1756300	{}
いいあらわす	言い表す	N2	D	estimated	model+frequency+world-distribution	1	23934	1264220	{}
いいかえ	言い換え	N2	D	estimated	model+frequency+world-distribution	1	19160	1756480	{}
いいかげん	いい加減	N2	A	direct	manual-secondary-exact	1	23981	1277440	"{""manual-secondary-exact"":""N2"",""core-deck-exact"":""N2"",""openjlpt-exact"":""N1"",""waller-exact"":""N1"",""existing-direct"":""N1"",""waller-entry-context"":""N1""}"
いいかげんにしろ	いい加減にしろ	N2	D	estimated	model+frequency+world-distribution	1	26071	2393900	{}
いいがかり	言いがかり	N2	D	estimated	model+frequency+world-distribution	1	26418	1609100	{}
いいきかせる	言い聞かせる	N2	B	direct	core-exact	1	18420	1264280	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
いいきる	言い切る	N2	B	direct	core-exact	1	9857	1264100	"{""core-deck-exact"":""N2"",""existing-direct"":""N2""}"
いいすぎる	言過ぎる	N2	D	estimated	model+frequency+world-distribution	1	15469	1848440	{}
いいだしっぺ	言い出しっぺ	N2	D	estimated	model+frequency+world-distribution	1	21907	1756270	{}
いいだす	言い出す	N2	A	direct	core+waller-lineage-corroborated	1	21979	1264080	"{""core-deck-exact"":""N2"",""openjlpt-exact"":""N2"",""waller-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
いいつける	言いつける	N2	B	direct	core-exact	1	26371	1264230	"{""core-deck-exact"":""N2"",""existing-direct"":""N2"",""waller-entry-context"":""N2""}"
いいなり	言いなり	N2	D	estimated	model+frequency+world-distribution	1	11816	1610590	{}
いいね	言い値	N2	D	estimated	model+frequency+world-distribution	1	20988	1756380	{}
いいのがれ	言い逃れ	N2	D	estimated	model+frequency+world-distribution	1	20083	1756370	{}
いいようがない	言いようがない	N2	D	estimated	model+frequency+world-distribution	1	25982	2214880	{}
